"1","Punto de Cambio","Aguascalientes","Aguascalientes","","Borrotes, Domicilio Conocido","Tradicional","Español","No",1,1
"2","Nueva vida","Aguascalientes","Aguascalientes","","Carretera Aguascalientes y Jalpa Zacatecas km 7.5","Institucional","Español","No",1,1
"3","Una esperanza de vida","Aguascalientes","Aguascalientes","","Carretera Aguascalientes y Jalpa Zacatecas No. 116","Institucional","Español","No",1,1
"4","Unidad","Aguascalientes","Aguascalientes","","Carretera Aguascalientes Jalpa Zacatecas km 8","Institucional","Español","No",1,1
"5","Un puerto de esperanza","Aguascalientes","Aguascalientes","","Carretera La Cantera Boulevard Juan Pablo Segundo Km 4.2 (CAPRA)","Institucional","Español","No",1,1
"6","El buen camino","Aguascalientes","Aguascalientes","Agricultura","Fray Antonio de Segovia No. 235","Tradicional","Español","No",1,1
"7","Harry Tibout","Aguascalientes","Aguascalientes","Anexo Palomino Dena","Calle Manuel Bosques Chávez No.207","Tradicional","Español","No",1,1
"8","Uniendo orillas","Aguascalientes","Aguascalientes","Balcones de Ojocaliente","Chichenitzá No. 346","Tradicional","Español","No",1,1
"9","Guadalupe","Aguascalientes","Aguascalientes","Barrio de Guadalupe","Valentín Gómez Farías No. 507","Tradicional","Español","No",1,1
"10","Calvillito tu historia,mi historia","Aguascalientes","Aguascalientes","Barrio de la Escuela","Agustín Iturbide No. 101 C 207","Tradicional","Español","No",1,1
"11","Vive y deja vivir","Aguascalientes","Aguascalientes","Barrio de la Salud","Héroes de Nacozari No.1029","Tradicional","Español","No",1,1
"12","Cambio de vida","Aguascalientes","Aguascalientes","Barrio de Triana","Josefa Ortiz de Domínguez No.645","Tradicional","Español","No",1,1
"13","La gran familia","Aguascalientes","Aguascalientes","Barrio del Encino","Leona Vicario No. 223 B","Tradicional","Español","No",1,1
"14","Poder superior","Aguascalientes","Aguascalientes","Barrio La Purisima","Poder Legislativo No.115 Int.5","Tradicional","Español","No",1,1
"15","Recuperación","Aguascalientes","Aguascalientes","Bosque del Prado","Sierra de Tepoztlán No.601 Int.1","Tradicional","Español","Si",1,1
"16","Genesis 99","Aguascalientes","Aguascalientes","Boulevares","Enrique Olivares No. 224-A","Tradicional","Español","No",1,1
"17","Boulevares","Aguascalientes","Aguascalientes","Boulevares Primera Sección","Enrique Rebsamen No. 303 D","Tradicional","Español","No",1,1
"18","Camino de luz","Aguascalientes","Aguascalientes","Centro","Domicilio conocido","Tradicional","Español","No",1,1
"19","15 de Enero","Aguascalientes","Aguascalientes","Centro","Enrique Olivares No. 208","Tradicional","Español","No",1,1
"20","5 de Agosto","Aguascalientes","Aguascalientes","Centro","Marcos Coronado No. 205","Tradicional","Español","No",1,1
"21","Hoy es el día","Aguascalientes","Aguascalientes","Centro","Emiliano Zapata No. 117","Institucional","Español","No",1,1
"22","Ejecutivos","Aguascalientes","Aguascalientes","Centro","Av. López Mateos Oriente No. 408 Int.101","Tradicional","Español","No",1,1
"23","Paz y libertad","Aguascalientes","Aguascalientes","Centro","Carretera Aguascalientes - Jalpa km 7.5","Institucional","Español","No",1,1
"24","Fe y esperanza","Aguascalientes","Aguascalientes","Centro","Carretera Aguascalientes - Jalpa km 7.2","Institucional","Español","No",1,1
"25","Juan Pablo II","Aguascalientes","Aguascalientes","Centro","Calle Adolfo López Mateos No. 206","Tradicional","Español","No",1,1
"1","Paz y libertad","Aguascalientes","Aguascalientes","Centro","Carretera Aguascalientes - Jalpa km 7.5","Institucional","Español","No",1,2
"2","El mensaje","Aguascalientes","Aguascalientes","Centro","Av. Ferrocarril s/n","Tradicional","Español","No",1,2
"3","Nueva vida","Aguascalientes","Aguascalientes","Centro","Emiliano Zapata No. 319","Tradicional","Español","No",1,2
"4","Nuevo futuro","Aguascalientes","Aguascalientes","Centro","Carretera Aguascalientes - Jalpa km 7.5","Institucional","Español","No",1,2
"5","26 de Septiembre","Aguascalientes","Aguascalientes","Centro","Sor Juana Inés de la Cruz s/n","Tradicional","Español","No",1,2
"6","Cañada honda","Aguascalientes","Aguascalientes","Centro","Av. México No. 112","Tradicional","Español","No",1,2
"7","Los pocitos","Aguascalientes","Aguascalientes","Centro","Garza Zada No. 211","Tradicional","Español","No",1,2
"8","Hoy es el día","Aguascalientes","Aguascalientes","Centro","Emiliano Zapata No. 117","Institucional","Español","No",1,2
"9","Camino de luz","Aguascalientes","Aguascalientes","Centro","Domicilio conocido","Tradicional","Español","No",1,2
"10","Hay una solución","Aguascalientes","Aguascalientes","Chicahuales 2","Ramón Loera No. 1119","Tradicional","Español","No",1,2
"11","Un nuevo camino","Aguascalientes","Aguascalientes","Col España","Av. España No. 402 Int 2","Tradicional","Español","No",1,2
"12","Regreso a lo Fundamental","Aguascalientes","Aguascalientes","Col. Constitución","Artículo 123 No. 609","Tradicional","Español","No",1,2
"13","17 de Junio","Aguascalientes","Aguascalientes","Col. La Cruz","Av. Mariano Escobedo No. 119-A","Tradicional","Español","Si",1,2
"14","Hay una solución","Aguascalientes","Aguascalientes","Col. Santa Anita","Teresa de Avila No. 111","Tradicional","Español","No",1,2
"15","Nueva Vida","Aguascalientes","Aguascalientes","Col. Villas de Ntra.Señora de la Asunción","Alfredo Muñoz No. 1236-A","Tradicional","Español","No",1,2
"16","El buen remedio","Aguascalientes","Aguascalientes","Curtidores","Felipe Brizuela Hermosillo No. 101","Tradicional","Español","Si",1,2
"17","21 de Septiembre","Aguascalientes","Aguascalientes","Ejido Venustiano Carranza","Domicilio conocido","Tradicional","Español","No",1,2
"18","Salvando vidas","Aguascalientes","Aguascalientes","El Rocío","Granizo No.207","Tradicional","Español","No",1,2
"19","Carl Gustav Jung","Aguascalientes","Aguascalientes","Emiliano Zapata","Mariano Jiménez 127","Tradicional","Español","No",1,2
"20","España","Aguascalientes","Aguascalientes","España","Andalucía No. 108","Tradicional","Español","No",1,2
"21","10 de Agosto","Aguascalientes","Aguascalientes","España","Madrid No. 311","Tradicional","Español","No",1,2
"22","Sobreviviendo","Aguascalientes","Aguascalientes","Fracc. Constitución","Art. 27 No. 600","Tradicional","Español","No",1,2
"23","Mensaje de vida","Aguascalientes","Aguascalientes","Fracc. Constitución","Art. 31  No. 411","Tradicional","Español","No",1,2
"24","Días sin huella","Aguascalientes","Aguascalientes","Fracc. del Valle 2 Sección","Miguel Angel No. 405 (Viena)","Tradicional","Español","No",1,2
"25","El Dorado","Aguascalientes","Aguascalientes","Fracc. El Dorado","República de Venezuela No.211","Tradicional","Español","No",1,2
"1","Dr. Bob","Aguascalientes","Aguascalientes","Fracc. El Sol","Medina Ugarte No.400-3","Tradicional","Español","No",1,3
"2","Ejecutivo","Aguascalientes","Aguascalientes","Fracc. Jardines de la Asunción","Av. José María Chávez Sur No. 1302 Planta Alta","Tradicional","Español","No",1,3
"3","Primer paso en la ribera","Aguascalientes","Aguascalientes","Fracc. La Ribera","Av.  Ribera de Chapala No.303-C","Tradicional","Español","No",1,3
"4","Dr. Silkworth","Aguascalientes","Aguascalientes","Fracc. Las Américas","Av. de las Américas No. 902 loc. 19","Tradicional","Español","No",1,3
"5","Unidos venceremos","Aguascalientes","Aguascalientes","Fracc. Los Pericos","Av. de las Torres Calle Santa Valeria No.142","Tradicional","Español","No",1,3
"6","Nueva familia","Aguascalientes","Aguascalientes","Fracc. Natura","Pino de la Soledad No. 117","Tradicional","Español","No",1,3
"7","Primavera","Aguascalientes","Aguascalientes","Fracc. Norte","Alamos No. 400","Tradicional","Español","No",1,3
"8","Ojocaliente III","Aguascalientes","Aguascalientes","Fracc. Ojocaliente III","El Mocho No. 306","Tradicional","Español","No",1,3
"9","Lenguaje del corazón","Aguascalientes","Aguascalientes","Fracc. Pirámides","Sinaloa No.455","Tradicional","Español","No",1,3
"10","Jóvenes en A.A.","Aguascalientes","Aguascalientes","Fracc. Rinconada de Santa Mónica","Avenida Siglo XXI No. 3805","Tradicional","Español","No",1,3
"11","Lenguaje del corazón AM","Aguascalientes","Aguascalientes","Fracci. Piramides","Sinaloa No.455 Int. B","Tradicional","Español","No",1,3
"12","Los mejores días","Aguascalientes","Aguascalientes","Fundición","Oro No. 101 esquina con Carlos Sagredo","Tradicional","Español","No",1,3
"13","Nueva amistad","Aguascalientes","Aguascalientes","Gómez Portugal","Arqueros No. 118","Tradicional","Español","No",1,3
"14","Transmítelo","Aguascalientes","Aguascalientes","Gremial","Av. Héroe de Nacozari Norte No. 1414","Tradicional","Español","No",1,3
"15","Aguascalientes","Aguascalientes","Aguascalientes","Gremial","Av. Convención y Blvd. a Zacatecas s/n","Tradicional","Español","No",1,3
"16","Hidrocálido","Aguascalientes","Aguascalientes","Gremial","Héroe de Nacozari Norte No. 622","Tradicional","Español","No",1,3
"17","Nueva luz en mi camino","Aguascalientes","Aguascalientes","Gremial","Alfredo Lewis No. 513 loc. 1","Tradicional","Español","No",1,3
"18","Mi mejor camino","Aguascalientes","Aguascalientes","Guadalupe Peralta","Adelina Hernández Reynoso No. 210","Tradicional","Español","No",1,3
"19","Primera tradición","Aguascalientes","Aguascalientes","Guadalupe Peralta Gámez","Antonio López de Sánchez No. 112","Tradicional","Español","No",1,3
"20","Los elegidos","Aguascalientes","Aguascalientes","Guadalupe Peralta Gámez","José de Jesús Aguilar No. 207","Tradicional","Español","No",1,3
"21","Mayoría de edad","Aguascalientes","Aguascalientes","Haciendas de Aguascalientes","Hacienda de Ojocaliente No. 145","Tradicional","Español","No",1,3
"22","Akron","Aguascalientes","Aguascalientes","Héroes","Vicente Suárez No. 308","Tradicional","Español","No",1,3
"23","Despertar","Aguascalientes","Aguascalientes","Jardines de la Cruz","Paseo de la Cruz No. 520","Tradicional","Español","No",1,3
"24","Juvenil","Aguascalientes","Aguascalientes","Jardines de la Cruz","Av. Adolfo López Mateos Oriente No. 1209","Tradicional","Español","No",1,3
"25","Un paso a la gloria","Aguascalientes","Aguascalientes","La Gloria","Domicilio conocido","Tradicional","Español","No",1,3
"1","Llegamos a creer","Aguascalientes","Aguascalientes","La Salud","Av. Paseo de la Cruz No. 1232 Int. 6","Tradicional","Español","No",1,4
"2","La soledad","Aguascalientes","Aguascalientes","La Soledad","Atotonilco No.201","Tradicional","Español","No",1,4
"3","Tepeyac","Aguascalientes","Aguascalientes","Las Brisas","Mar Báltico No. 210","Tradicional","Español","No",1,4
"4","Hay una esperanza","Aguascalientes","Aguascalientes","Las Cumbres","Calle Cumbres No. 319","Tradicional","Español","No",1,4
"5","Loma bonita","Aguascalientes","Aguascalientes","Loma Bonita","Articulo 3o. No. 227","Tradicional","Español","No",1,4
"6","Unidad","Aguascalientes","Aguascalientes","López Portillo","Rincón Gallardo No. 201","Tradicional","Español","No",1,4
"7","Eddie Rickenbacker","Aguascalientes","Aguascalientes","Los Arcos","Héroe de Nacozari Norte No.2353","Tradicional","Español","No",1,4
"8","Torre plaza bosques","Aguascalientes","Aguascalientes","Los Bosques","Av. Universidad No.3001 y Av. Aguascalientes","Tradicional","Español","No",1,4
"9","Mi última esperanza","Aguascalientes","Aguascalientes","Los Pericos","Av. Poliducto No.101","Tradicional","Español","No",1,4
"10","Gran cambio de vida","Aguascalientes","Aguascalientes","Martínez Domínguez","Calle Sargento Carlos Martínez No. 140-B","Tradicional","Español","No",1,4
"11","México primer paso","Aguascalientes","Aguascalientes","México","Chihuahua No. 104","Tradicional","Español","No",1,4
"12","Esperanza","Aguascalientes","Aguascalientes","Miravalle","Arroyo de los Arellano No. 236","Tradicional","Español","No",1,4
"13","8 de Agosto","Aguascalientes","Aguascalientes","Morelos II","Sixto Verduzco No. 219","Tradicional","Español","No",1,4
"14","El rescate","Aguascalientes","Aguascalientes","Nazario Ortiz Garza","General José Refugio Velasco No.808 altos","Tradicional","Español","No",1,4
"15","Nuevo comienzo","Aguascalientes","Aguascalientes","Norias de Ojo Caliente","Esmeralda No.136","Tradicional","Español","No",1,4
"16","27 de Febrero","Aguascalientes","Aguascalientes","Ojo Caliente I","Maizal esquina Espiga s/n","Tradicional","Español","No",1,4
"17","La montaña","Aguascalientes","Aguascalientes","Palomino Dena","Antonio Medina Romo  No. 222","Tradicional","Español","No",1,4
"18","Pilar Blanco","Aguascalientes","Aguascalientes","Pilar Blanco","Andador Papagayo No. 8615 H.U.","Tradicional","Español","No",1,4
"19","Solo por hoy","Aguascalientes","Aguascalientes","Pintores Mexicanos","José Luis Cuevas loc. 6","Tradicional","Español","No",1,4
"20","Volver a vivir","Aguascalientes","Aguascalientes","Revolución","Emiliano Zapata s/n","Tradicional","Español","No",1,4
"21","El salto","Aguascalientes","Aguascalientes","Salto de los Salados","16 de Septiembre No. 102","Tradicional","Español","No",1,4
"22","El porvenir","Aguascalientes","Aguascalientes","Salto de Ojocaliente","Miguel Hidalgo No. 111","Tradicional","Español","No",1,4
"23","Fátima rastro","Aguascalientes","Aguascalientes","San José del Arenal","San Juan de los Lagos No. 209","Tradicional","Español","No",1,4
"24","Libertad","Aguascalientes","Aguascalientes","San Marcos","25 de Abril No. 409","Tradicional","Español","No",1,4
"25","Centro","Aguascalientes","Aguascalientes","San Pablo","Marina Nacional esquina con Petróleos Mexicanos","Tradicional","Español","No",1,4
"1","Centro","Aguascalientes","Aguascalientes","San Pablo","Marina Nacional esquina con Petróleos Mexicanos","Tradicional","Español","No",1,5
"2","San Pedro","Aguascalientes","Aguascalientes","San Pedro","Domingo Diez No. 105","Tradicional","Español","No",1,5
"3","Amigos de verdad","Aguascalientes","Aguascalientes","Solidaridad II","Aztlán No. 205","Tradicional","Español","No",1,5
"4","El salvador","Aguascalientes","Aguascalientes","Talamantes Ponce","Calle Hidalgo No.103","Tradicional","Español","No",1,5
"5","La fortaleza","Aguascalientes","Aguascalientes","Villa Sur","La Pasionaria No.226 loc. 13","Tradicional","Español","No",1,5
"6","Serenidad","Aguascalientes","Aguascalientes","Villas del Oeste","Jorge Negrete No.101","Tradicional","Español","No",1,5
"7","Valor para Cambiar","Aguascalientes","Aguascalientes","Villas del Pilar, Plaza Hanei","Siglo XXl No.3208 Altos","Tradicional","Español","No",1,5
"8","Nuevo despertar","Aguascalientes","Asientos","Bimbaletes","Emiliano Zapata s/n","Tradicional","Español","No",1,5
"9","13 de Junio","Aguascalientes","Asientos","Centro","Lázaro Cárdenas s/n","Tradicional","Español","No",1,5
"10","Luz a la vida","Aguascalientes","Asientos","Centro","Bodegas CONASUPO s/n","Tradicional","Español","No",1,5
"11","San Pedro Apulco","Aguascalientes","Asientos","Centro","Independencia No. 7","Tradicional","Español","No",1,5
"12","Villa Juárez 89","Aguascalientes","Asientos","Centro","5 de Mayo No. 460 A","Tradicional","Español","Si",1,5
"13","Real de asientos","Aguascalientes","Asientos","Centro","Miguel Hidalgo No. 25","Tradicional","Español","No",1,5
"14","Nueva esperanza","Aguascalientes","Asientos","Crisostomos Aguascalientes","Emiliano Zapata No.102","Tradicional","Español","No",1,5
"15","Una luz en el camino","Aguascalientes","Asientos","Guadalupe de Atlas","Luis Donaldo Colosio y Arroyo s/n","Tradicional","Español","No",1,5
"16","Regalo de navidad","Aguascalientes","Asientos","Molinos","Rosa de Castilla No. 19","Tradicional","Español","Si",1,5
"17","2 de Abril","Aguascalientes","Asientos","San Rafael del Campo","Calle Principal s/n","Tradicional","Español","No",1,5
"18","Santa Cruz","Aguascalientes","Calvillo","Centro","Carretera Agua Marina s/n","Tradicional","Español","No",1,5
"19","Camino de luz","Aguascalientes","Calvillo","Centro","Artículo 71 No.103","Tradicional","Español","No",1,5
"20","Valle de Huajucar","Aguascalientes","Calvillo","Centro","Libertad No. 604 A","Tradicional","Español","No",1,5
"21","San Diego","Aguascalientes","Calvillo","Centro","Río Casas Grandes esquina Río Usumacinta No. 309","Tradicional","Español","No",1,5
"22","Mensaje de vida","Aguascalientes","Calvillo","Centro","Privada Río Verde No. 144","Tradicional","Español","No",1,5
"23","27 de Marzo","Aguascalientes","Calvillo","Centro","México No. 201-A","Tradicional","Español","No",1,5
"24","Chicago 85","Aguascalientes","Calvillo","Los Ángeles","Abasolo No. 402 A","Tradicional","Español","No",1,5
"25","Nueva vida","Aguascalientes","Calvillo","Popular","Carretera Aguascalientes esquina Valle Huajucar","Institucional","Español","No",1,5
"1","Juan Diego","Aguascalientes","Cosío","Centro","Privada de Villa esq. Javier Mina","Tradicional","Español","No",1,6
"2","El Salero 2000","Aguascalientes","Cosío","El Salero","Domicilio Conocido","Tradicional","Español","No",1,6
"3","Natillas 85","Aguascalientes","Cosío","Mexiquito","Calle México s/n","Tradicional","Español","No",1,6
"4","La Montañita","Aguascalientes","El Llano","","Domicilio Conocido","Tradicional","Español","No",1,6
"5","Nuevo amanecer","Aguascalientes","El Llano","Centro","Domicilio conocido","Tradicional","Español","No",1,6
"6","Un nuevo camino","Aguascalientes","El Llano","Centro","Emiliano Zapata No. 107","Tradicional","Español","No",1,6
"7","Renacimiento","Aguascalientes","El Llano","El Llano","Domicilio conocido","Tradicional","Español","No",1,6
"8","Modulo I Grupo Despertar 1","Aguascalientes","El Llano","El Llano","CE.RE.SO. El Llano","Institucional","Español","No",1,6
"9","Modulo 2 Grupo Despertar 2","Aguascalientes","El Llano","El Llano","CE.RE.SO. El Llano","Institucional","Español","No",1,6
"10","Modulo 3 Grupo Despertar 3","Aguascalientes","El Llano","El Llano","CE.RE.SO. El Llano","Institucional","Español","No",1,6
"11","Modulo 4 Grupo Mi Salvación","Aguascalientes","El Llano","El Llano","CE.RE.SO. El Llano","Institucional","Español","No",1,6
"12","Módulo 5 Grupo Volver a empezar","Aguascalientes","El Llano","El Llano","CE.RE.SO. El Llano","Institucional","Español","No",1,6
"13","Módulo 6 Grupo Renovación","Aguascalientes","El Llano","El Llano","CE.RE.SO. El Llano","Institucional","Español","No",1,6
"14","Sobriedad","Aguascalientes","El Llano","El Llano","Luis Donaldo Colosio No.216","Tradicional","Español","No",1,6
"15","La Próxima Frontera","Aguascalientes","Jesús María","","Paseo de las Maravillas No. 510-A","Tradicional","Español","No",1,6
"16","La Loma","Aguascalientes","Jesús María","","Calle Miguel Hidalgo No. 54","Tradicional","Español","No",1,6
"17","Unidad y recuperación","Aguascalientes","Jesús María","Bella Vista","Vista Bonita No. 102","Tradicional","Español","No",1,6
"18","Nunca es tarde","Aguascalientes","Jesús María","Benigno Chávez","Calle Julio Cadena 1002 B","Tradicional","Español","No",1,6
"19","Nazareno","Aguascalientes","Jesús María","Buena Vista","Héroes de Nacozari No. 411","Tradicional","Español","No",1,6
"20","Nueva vida","Aguascalientes","Jesús María","Cd. Satélite Morelos","Artillero Mier No.905","Institucional","Español","No",1,6
"21","Un paso a la gloria","Aguascalientes","Jesús María","Centro","Mezquitito No. 3","Tradicional","Español","No",1,6
"22","21 de Marzo","Aguascalientes","Jesús María","Centro","Héroe de Nacozari No. 105","Tradicional","Español","No",1,6
"23","Nueva vida","Aguascalientes","Jesús María","Centro","Privada Álvarez No. 205","Tradicional","Español","No",1,6
"24","Cruz de mayo","Aguascalientes","Jesús María","Centro","Privada Nieves","Tradicional","Español","No",1,6
"25","Buena voluntad","Aguascalientes","Jesús María","Centro","Privada Nieves No. 109","Tradicional","Español","No",1,6
"1","Nueva vida","Aguascalientes","Jesús María","Centro","Privada Álvarez No. 205","Tradicional","Español","No",1,7
"2","4° paso","Aguascalientes","Jesús María","El Torito","15 de Septiembre No. 124","Tradicional","Español","No",1,7
"3","El milagro","Aguascalientes","Jesús María","Gómez Portugal","Avenida Margaritas No.519","Tradicional","Español","No",1,7
"4","Valor para vivir","Aguascalientes","Jesús María","La Cañada","Calle Alejandro de la Cruz s/n","Tradicional","Español","No",1,7
"5","Veteranos A.A.","Aguascalientes","Jesús María","La Cardona","Privada Loera No. 408","Tradicional","Español","No",1,7
"6","Nueva vida","Aguascalientes","Jesús María","Lomas de Jesús María","Uxmal No. 300","Institucional","Español","No",1,7
"7","Nueva dependencia","Aguascalientes","Jesús María","Martínez Andrade","Aldama No. 316","Tradicional","Español","No",1,7
"8","Jesús María","Aguascalientes","Jesús María","Martínez Andrade","Calle J. Mina No. 520","Tradicional","Español","No",1,7
"9","De las tinieblas hacia la luz","Aguascalientes","Jesús María","Paseos de Aguascalientes","Avenida Paseos de Aguascalientes No.1408 Int. 5","Tradicional","Español","No",1,7
"10","De las tinieblas hacia la luz","Aguascalientes","Jesús María","Paso Blanco","Calle San Antonio No. 109","Tradicional","Español","No",1,7
"11","Paso blanco","Aguascalientes","Jesús María","Paso Blanco","Av. Paso Blanco No. 214","Tradicional","Español","No",1,7
"12","Primero de mayo","Aguascalientes","Jesús María","Paso Blanco","San Antonio No. 109","Tradicional","Español","No",1,7
"13","Gran futuro","Aguascalientes","Jesús María","Plan Benito Juárez","Carretera a la Posta No.158","Tradicional","Español","No",1,7
"14","Viviendo sobrio","Aguascalientes","Jesús María","Villa Yolanda","Villas Yolanda","Tradicional","Español","No",1,7
"15","Volvi a nacer","Aguascalientes","Jesús María","Zona Centro","Ignacio Allende No.507","Tradicional","Español","No",1,7
"16","Fuente de vida","Aguascalientes","Pabellón de Arteaga","Centro","Domicilio Conocido","Tradicional","Español","No",1,7
"17","Juventud","Aguascalientes","Pabellón de Arteaga","Centro","Privada H. Colegio Militar No. 1","Tradicional","Español","No",1,7
"18","Plenitud","Aguascalientes","Pabellón de Arteaga","Centro","Priv. Héroico Colegio Militar 1-C","Tradicional","Español","No",1,7
"19","Ebby","Aguascalientes","Pabellón de Arteaga","Francisco Villa","Francisco I. Madero Norte No. 24","Tradicional","Español","No",1,7
"20","Popular 2001","Aguascalientes","Pabellón de Arteaga","P. Nuevo Milenio","Filomeno Mata esq. Av. Revolución","Tradicional","Español","No",1,7
"21","Pabellón 83","Aguascalientes","Pabellón de Arteaga","Palo Alto","Gámez Orozco No. 38","Tradicional","Español","No",1,7
"22","La Salida","Aguascalientes","Pabellón de Arteaga","Plutarco Elias Calles","María de Luna No. 719","Tradicional","Español","No",1,7
"23","De las tinieblas a la luz","Aguascalientes","Pabellón de Arteaga","Vergel del Valle","Circuito Uvas No. 308","Tradicional","Español","No",1,7
"24","Recuperación chora","Aguascalientes","Rincón de Romos","Barrio de Chora","Calle Bicentenario s/n","Tradicional","Español","No",1,7
"25","Costa de marfil","Aguascalientes","Rincón de Romos","Centro","Av. Zacatecas y 16 de Septiembre s/n","Tradicional","Español","No",1,7
"1","Rincón 81","Aguascalientes","Rincón de Romos","Centro","Victoria No. 126","Tradicional","Español","No",1,8
"2","Alegría de vivir","Aguascalientes","Rincón de Romos","Centro","Francisco I. Madero y 5 de Mayo s/n","Tradicional","Español","No",1,8
"3","Nueva vida","Aguascalientes","Rincón de Romos","Centro","Domicilio conocido","Tradicional","Español","No",1,8
"4","Costa de marfil","Aguascalientes","Rincón de Romos","Centro","Av. Zacatecas y 16 de Septiembre s/n","Tradicional","Español","No",1,8
"5","Calpulalpan","Aguascalientes","Rincón de Romos","Centro","Motolinia Oriente No.706","Tradicional","Español","No",1,8
"6","Colonia 95","Aguascalientes","Rincón de Romos","Centro","Domicilio conocido","Tradicional","Español","No",1,8
"7","Primero de marzo","Aguascalientes","Rincón de Romos","Centro","16 de Septiembre No. 63","Tradicional","Español","No",1,8
"8","Fe que obra","Aguascalientes","Rincón de Romos","Col. San José","Calle San José No. 103","Tradicional","Español","No",1,8
"9","22 de Marzo","Aguascalientes","Rincón de Romos","Constitución","Teodoro Olivares No.108","Tradicional","Español","No",1,8
"10","El Bajío","Aguascalientes","Rincón de Romos","El Bajío","Guerrero No. 18","Tradicional","Español","No",1,8
"11","Nueva vida","Aguascalientes","Rincón de Romos","Estancia de Chora","Octli  No. 602","Institucional","Español","No",1,8
"12","12 de Septiembre","Aguascalientes","Rincón de Romos","Guadalupe Rincón","Insurgentes No. 508","Tradicional","Español","No",1,8
"13","Diez de mayo","Aguascalientes","Rincón de Romos","La Escondida","Antonio Femat esq. Venustiano Carranza No. 107","Tradicional","Español","No",1,8
"14","Alfa y omega","Aguascalientes","Rincón de Romos","Magisterial","Dr. Francisco Guel No. 401","Tradicional","Español","No",1,8
"15","Escaleras 83","Aguascalientes","Rincón de Romos","Pablo Escaleras","Domicilio Conocido","Tradicional","Español","No",1,8
"16","Morelos","Aguascalientes","Rincón de Romos","Santa Cruz","Calle Olmo No. 301","Tradicional","Español","No",1,8
"17","Una Ilusión","Aguascalientes","Rincón de Romos","Santa Elena","Ejercito Nacional No. 125","Tradicional","Español","No",1,8
"18","Unidad","Aguascalientes","San Francisco de los Romo","","Francisco I Madero esq. Independencia","Tradicional","Español","No",1,8
"19","Quinta tradición","Aguascalientes","San Francisco de los Romo","La Concepción","Francisco I. Madero No. 212","Tradicional","Español","No",1,8
"20","San Isidro","Aguascalientes","San Francisco de los Romo","La Guayana","Ninos Héroes s/n","Tradicional","Español","No",1,8
"21","Las lomas","Aguascalientes","San Francisco de los Romo","Macario J. Gómez","José Arteaga No. 104","Tradicional","Español","No",1,8
"22","Nuevo horizonte","Aguascalientes","San Francisco de los Romo","Puertecito de la Virgen","Francisco Villa No.508 Int.A","Tradicional","Español","No",1,8
"23","Semilla que florece","Aguascalientes","San José de Gracia","Centro","J.M. Morelos No. 104","Tradicional","Español","No",1,8
"24","Fortaleza y esperanza","Aguascalientes","San José de Gracia","Centro","Edmundo Gómez Orozco No. 105-B","Tradicional","Español","No",1,8
"25","Renacimiento","Aguascalientes","Tepezalá","","Venustiano Carranza No. 503","Tradicional","Español","No",1,8
"1","San José 92","Aguascalientes","Tepezalá","16 de Septiembre","Av. Independencia No.156","Tradicional","Español","No",1,9
"2","25 de Enero","Aguascalientes","Tepezalá","Centro","Benito Juárez s/n","Tradicional","Español","No",1,9
